rc_pool,flags,rc_sorted,mem_pool,mem_sorted,pc_update
32769,4,32769,61,5,21
32769,2,32769,13,74168662805676031,0
32769,1,32769,91,5,0
32769,0,32769,0,74168662805676031,0
32768,18470,32769,26,5,67
32769,9235,32769,5198983563776458752,74168662805676031,0
32769,4617,32769,0,5,0
32769,2308,32769,0,74168662805676031,0
32769,1154,32769,62,5,3618502788666131213697322783095070105623107215331596699973092056135872020476
32769,577,32769,5,74168662805676031,0
32769,288,32769,91,5,0
32769,144,32769,0,74168662805676031,0
32765,72,32769,67,5,65
32769,36,32769,4,74168662805676031,0
32769,18,32769,0,5,0
32769,9,32769,0,74168662805676031,0
32769,4,32769,27,5,4
32769,2,32769,3618502788666131213697322783095070105623107215331596699973092056135872020480,74168662805676031,0
32769,1,32769,91,5,0
32769,0,32769,0,74168662805676031,0
32768,4356,32769,28,5,68
32769,2178,32769,1226245742482522112,74168662805676031,0
32769,1089,32769,0,6,0
32769,544,32769,0,0,0
32769,272,32769,69,6,3618502788666131213697322783095070105623107215331596699973092056135872020241
32769,136,32769,30,0,0
32769,68,32769,91,6,0
32769,34,32769,0,0,0
32769,17,32769,68,6,65
32769,8,32769,65,0,0
32769,4,32769,0,6,0
32769,2,32769,0,0,0
32769,1,32769,29,6,3618502788666131213697322783095070105623107215331596699973092056135872020473
32769,0,32769,3618502788666131213697322783095070105623107215331596699973092056135872020473,0,0
32769,0,32769,91,6,0
32769,0,32769,0,0,0
32765,519,32769,20,6,70
32769,259,32769,146226256843603965,0,0
32769,129,32769,0,6,4
32769,64,32769,0,0,0
32769,32,32769,69,6,120
32769,16,32769,30,0,0
32769,8,32769,91,6,0
32769,4,32769,0,0,0
32767,2,32769,67,6,70
32769,1,32769,4,0,0
32769,0,32769,0,6,1
32769,0,32769,0,0,0
32769,0,32769,21,6,2713877091499598410272992087321302579217330411498697524979819042101904015361
32769,0,32769,4,0,0
32769,0,32769,91,6,0
32769,0,32769,0,0,0
32768,18442,32769,24,6,70
32769,9221,32769,5191102242953854976,0,0
32769,4610,32769,0,6,0
32769,2305,32769,0,0,0
32764,1152,32769,69,6,630
32769,576,32769,30,0,0
32769,288,32769,91,6,0
32769,144,32769,0,0,0
32767,72,32769,70,6,70
32769,36,32769,21,0,0
32769,18,32769,0,6,0
32769,9,32769,0,0,0
32769,4,32769,66,6,21
32769,2,32769,21,0,0
32769,1,32769,91,6,0
32769,0,32769,0,0,0
32768,18474,32769,25,6,71
32769,9237,32769,5200109442208333824,0,0
32769,4618,32769,0,6,0
32769,2309,32769,0,0,0
32764,1154,32769,65,6,273
32769,577,32769,13,0,0
32769,288,32769,91,6,0
32769,144,32769,0,0,0
32763,72,32769,71,6,70
32769,36,32769,34,0,0
32769,18,32769,0,6,0
32769,9,32769,0,0,0
32769,4,32769,66,6,34
32769,2,32769,21,0,0
32769,1,32769,91,6,0
32769,0,32769,0,0,0
32768,18470,32769,26,6,72
32769,9235,32769,5198983563776458752,0,0
32769,4617,32769,0,6,0
32769,2308,32769,0,0,0
32769,1154,32769,67,6,3618502788666131213697322783095070105623107215331596699973092056135872020477
32769,577,32769,4,0,0
32769,288,32769,91,6,0
32769,144,32769,0,0,0
32765,72,32769,72,6,70
32769,36,32769,3,0,0
32769,18,32769,0,6,0
32769,9,32769,0,0,0
32769,4,32769,27,6,3
32769,2,32769,3618502788666131213697322783095070105623107215331596699973092056135872020480,0,0
32769,1,32769,91,6,0
32769,0,32769,0,0,0
32768,4356,32769,28,6,73
32769,2178,32769,1226245742482522112,0,0
32769,1089,32769,0,6,0
32769,544,32769,0,0,0
32769,272,32769,74,6,3618502788666131213697322783095070105623107215331596699973092056135872020241
32769,136,32769,30,0,0
32769,68,32769,91,6,0
32769,34,32769,0,0,0
32769,17,32769,73,6,70
32769,8,32769,70,0,0
32769,4,32769,0,6,0
32769,2,32769,0,0,0
32769,1,32769,29,6,3618502788666131213697322783095070105623107215331596699973092056135872020473
32769,0,32769,3618502788666131213697322783095070105623107215331596699973092056135872020473,0,0
32769,0,32769,91,6,0
32769,0,32769,0,0,0
32765,519,32769,20,6,75
32769,259,32769,146226256843603965,0,0
32769,129,32769,0,6,3
32769,64,32769,0,0,0
32769,32,32769,74,6,120
32769,16,32769,30,0,0
32769,8,32769,91,6,0
32769,4,32769,0,0,0
32767,2,32769,72,6,75
32769,1,32769,3,0,0
32769,0,32769,0,6,1
32769,0,32769,0,0,0
32769,0,32769,21,6,1206167596222043737899107594365023368541035738443865566657697352045290673494
32769,0,32769,4,0,0
32769,0,32769,91,6,0
32769,0,32769,0,0,0
32768,18442,32769,24,6,75
32769,9221,32769,5191102242953854976,0,0
32769,4610,32769,0,6,0
32769,2305,32769,0,0,0
32764,1152,32769,74,7,1020
32769,576,32769,30,290341444919459839,0
32769,288,32769,91,7,0
32769,144,32769,0,290341444919459839,0
32767,72,32769,75,8,75
32769,36,32769,34,0,0
32769,18,32769,0,8,0
32769,9,32769,0,0,0
32769,4,32769,71,9,34
32769,2,32769,34,5189976364521848832,0
32769,1,32769,91,9,0
32769,0,32769,0,5189976364521848832,0
32768,18474,32769,25,10,76
32769,9237,32769,5200109442208333824,1,0
32769,4618,32769,0,10,0
32769,2309,32769,0,1,0
32764,1154,32769,70,11,714
32769,577,32769,21,5189976364521848832,0
32769,288,32769,91,11,0
32769,144,32769,0,5189976364521848832,0
32763,72,32769,76,12,75
32769,36,32769,55,1,0
32769,18,32769,0,12,0
32769,9,32769,0,1,0
32769,4,32769,71,13,55
32769,2,32769,34,5189976364521848832,0
32769,1,32769,91,13,0
32769,0,32769,0,5189976364521848832,0
32768,18470,32769,26,14,77
32769,9235,32769,5198983563776458752,10,0
32769,4617,32769,0,14,0
32769,2308,32769,0,10,0
32769,1154,32769,72,15,3618502788666131213697322783095070105623107215331596699973092056135872020478
32769,577,32769,3,1226245742482522112,0
32769,288,32769,91,15,0
32769,144,32769,0,1226245742482522112,0
32765,72,32769,77,16,75
32769,36,32769,2,5,0
32769,18,32769,0,16,0
32769,9,32769,0,5,0
32769,4,32769,27,17,2
32769,2,32769,3618502788666131213697322783095070105623107215331596699973092056135872020480,4613515612218425343,0
32769,1,32769,91,17,0
32769,0,32769,0,4613515612218425343,0
32768,4356,32769,28,18,78
32769,2178,32769,1226245742482522112,144,0
32769,1089,32769,0,18,0
32769,544,32769,0,144,0
32769,272,32769,79,19,3618502788666131213697322783095070105623107215331596699973092056135872020241
32769,136,32769,30,2345108766317314046,0
32769,68,32769,91,19,0
32769,34,32769,0,2345108766317314046,0
32769,17,32769,78,20,75
32769,8,32769,75,146226256843603965,0
32769,4,32769,0,20,0
32769,2,32769,0,146226256843603965,0
32769,1,32769,29,20,3618502788666131213697322783095070105623107215331596699973092056135872020473
32769,0,32769,3618502788666131213697322783095070105623107215331596699973092056135872020473,146226256843603965,0
32769,0,32769,91,20,0
32769,0,32769,0,146226256843603965,0
32765,519,32769,20,20,80
32769,259,32769,146226256843603965,146226256843603965,0
32769,129,32769,0,20,2
32769,64,32769,0,146226256843603965,0
32769,32,32769,79,20,120
32769,16,32769,30,146226256843603965,0
32769,8,32769,91,20,0
32769,4,32769,0,146226256843603965,0
32767,2,32769,77,20,80
32769,1,32769,2,146226256843603965,0
32769,0,32769,0,20,1
32769,0,32769,0,146226256843603965,0
32769,0,32769,21,20,1809251394333065606848661391547535052811553607665798349986546028067936010241
32769,0,32769,4,146226256843603965,0
32769,0,32769,91,20,0
32769,0,32769,0,146226256843603965,0
32768,18442,32769,24,21,80
32769,9221,32769,5191102242953854976,4,0
32769,4610,32769,0,21,0
32769,2305,32769,0,4,0
32764,1152,32769,79,21,1650
32769,576,32769,30,4,0
32769,288,32769,91,21,0
32769,144,32769,0,4,0
32767,72,32769,80,21,80
32769,36,32769,55,4,0
32769,18,32769,0,21,0
32769,9,32769,0,4,0
32769,4,32769,76,21,55
32769,2,32769,55,4,0
32769,1,32769,91,21,0
32769,0,32769,0,4,0
32768,18474,32769,25,21,81
32769,9237,32769,5200109442208333824,4,0
32769,4618,32769,0,21,0
32769,2309,32769,0,4,0
32764,1154,32769,75,21,1870
32769,577,32769,34,4,0
32769,288,32769,91,21,0
32769,144,32769,0,4,0
32763,72,32769,81,22,80
32769,36,32769,89,5191102242953854976,0
32769,18,32769,0,22,0
32769,9,32769,0,5191102242953854976,0
32769,4,32769,76,23,89
32769,2,32769,55,2345108766317314046,0
32769,1,32769,91,23,0
32769,0,32769,0,2345108766317314046,0
32768,18470,32769,26,24,82
32769,9235,32769,5198983563776458752,5191102242953854976,0
32769,4617,32769,0,24,0
32769,2308,32769,0,5191102242953854976,0
32769,1154,32769,77,24,3618502788666131213697322783095070105623107215331596699973092056135872020479
32769,577,32769,2,5191102242953854976,0
32769,288,32769,91,24,0
32769,144,32769,0,5191102242953854976,0
32765,72,32769,82,24,80
32769,36,32769,1,5191102242953854976,0
32769,18,32769,0,24,0
32769,9,32769,0,5191102242953854976,0
32769,4,32769,27,24,1
32769,2,32769,3618502788666131213697322783095070105623107215331596699973092056135872020480,5191102242953854976,0
32769,1,32769,91,24,0
32769,0,32769,0,5191102242953854976,0
32768,4356,32769,28,24,83
32769,2178,32769,1226245742482522112,5191102242953854976,0
32769,1089,32769,0,24,0
32769,544,32769,0,5191102242953854976,0
32769,272,32769,84,24,3618502788666131213697322783095070105623107215331596699973092056135872020241
32769,136,32769,30,5191102242953854976,0
32769,68,32769,91,25,0
32769,34,32769,0,5200109442208333824,0
32769,17,32769,83,25,80
32769,8,32769,80,5200109442208333824,0
32769,4,32769,0,25,0
32769,2,32769,0,5200109442208333824,0
32769,1,32769,29,25,3618502788666131213697322783095070105623107215331596699973092056135872020473
32769,0,32769,3618502788666131213697322783095070105623107215331596699973092056135872020473,5200109442208333824,0
32769,0,32769,91,25,0
32769,0,32769,0,5200109442208333824,0
32765,519,32769,20,25,85
32769,259,32769,146226256843603965,5200109442208333824,0
32769,129,32769,0,25,1
32769,64,32769,0,5200109442208333824,0
32769,32,32769,84,25,120
32769,16,32769,30,5200109442208333824,0
32769,8,32769,91,25,0
32769,4,32769,0,5200109442208333824,0
32767,2,32769,82,25,85
32769,1,32769,1,5200109442208333824,0
32769,0,32769,0,25,1
32769,0,32769,0,5200109442208333824,0
32769,0,32769,21,26,1
32769,0,32769,4,5198983563776458752,0
32769,0,32769,91,26,0
32769,0,32769,0,5198983563776458752,0
32768,18442,32769,24,26,85
32769,9221,32769,5191102242953854976,5198983563776458752,0
32769,4610,32769,0,26,0
32769,2305,32769,0,5198983563776458752,0
32764,1152,32769,84,26,2670
32769,576,32769,30,5198983563776458752,0
32769,288,32769,91,26,0
32769,144,32769,0,5198983563776458752,0
32767,72,32769,85,26,85
32769,36,32769,89,5198983563776458752,0
32769,18,32769,0,26,0
32769,9,32769,0,5198983563776458752,0
32769,4,32769,81,26,89
32769,2,32769,89,5198983563776458752,0
32769,1,32769,91,26,0
32769,0,32769,0,5198983563776458752,0
32768,18474,32769,25,26,86
32769,9237,32769,5200109442208333824,5198983563776458752,0
32769,4618,32769,0,27,0
32769,2309,32769,0,3618502788666131213697322783095070105623107215331596699973092056135872020480,0
32764,1154,32769,80,27,4895
32769,577,32769,55,3618502788666131213697322783095070105623107215331596699973092056135872020480,0
32769,288,32769,91,27,0
32769,144,32769,0,3618502788666131213697322783095070105623107215331596699973092056135872020480,0
32763,72,32769,86,27,85
32769,36,32769,144,3618502788666131213697322783095070105623107215331596699973092056135872020480,0
32769,18,32769,0,27,0
32769,9,32769,0,3618502788666131213697322783095070105623107215331596699973092056135872020480,0
32769,4,32769,81,27,144
32769,2,32769,89,3618502788666131213697322783095070105623107215331596699973092056135872020480,0
32769,1,32769,91,27,0
32769,0,32769,0,3618502788666131213697322783095070105623107215331596699973092056135872020480,0
32768,18470,32769,26,27,87
32769,9235,32769,5198983563776458752,3618502788666131213697322783095070105623107215331596699973092056135872020480,0
32769,4617,32769,0,27,0
32769,2308,32769,0,3618502788666131213697322783095070105623107215331596699973092056135872020480,0
32769,1154,32769,82,27,3618502788666131213697322783095070105623107215331596699973092056135872020480
32769,577,32769,1,3618502788666131213697322783095070105623107215331596699973092056135872020480,0
32769,288,32769,91,27,0
32769,144,32769,0,3618502788666131213697322783095070105623107215331596699973092056135872020480,0
32765,72,32769,87,28,85
32769,36,32769,0,1226245742482522112,0
32769,18,32769,0,28,0
32769,9,32769,0,1226245742482522112,0
32769,4,32769,27,28,0
32769,2,32769,3618502788666131213697322783095070105623107215331596699973092056135872020480,1226245742482522112,0
32769,1,32769,91,28,0
32769,0,32769,0,1226245742482522112,0
32768,4356,32769,28,28,88
32769,2178,32769,1226245742482522112,1226245742482522112,0
32769,1089,32769,0,28,0
32769,544,32769,0,1226245742482522112,0
32769,272,32769,89,28,3618502788666131213697322783095070105623107215331596699973092056135872020241
32769,136,32769,30,1226245742482522112,0
32769,68,32769,91,28,0
32769,34,32769,0,1226245742482522112,0
32769,17,32769,88,28,85
32769,8,32769,85,1226245742482522112,0
32769,4,32769,0,28,0
32769,2,32769,0,1226245742482522112,0
32769,1,32769,29,28,3618502788666131213697322783095070105623107215331596699973092056135872020473
32769,0,32769,3618502788666131213697322783095070105623107215331596699973092056135872020473,1226245742482522112,0
32769,0,32769,91,29,0
32769,0,32769,0,3618502788666131213697322783095070105623107215331596699973092056135872020473,0
32765,519,32769,20,29,90
32769,259,32769,146226256843603965,3618502788666131213697322783095070105623107215331596699973092056135872020473,0
32769,129,32769,0,29,0
32769,64,32769,0,3618502788666131213697322783095070105623107215331596699973092056135872020473,0
32769,32,32769,89,29,120
32769,16,32769,30,3618502788666131213697322783095070105623107215331596699973092056135872020473,0
32769,8,32769,91,29,0
32769,4,32769,0,3618502788666131213697322783095070105623107215331596699973092056135872020473,0
32767,2,32769,87,29,90
32769,1,32769,0,3618502788666131213697322783095070105623107215331596699973092056135872020473,0
32769,0,32769,0,29,0
32769,0,32769,0,3618502788666131213697322783095070105623107215331596699973092056135872020473,0
32769,0,32769,21,29,0
32769,0,32769,4,3618502788666131213697322783095070105623107215331596699973092056135872020473,0
32769,0,32769,91,29,0
32769,0,32769,0,3618502788666131213697322783095070105623107215331596699973092056135872020473,0
32768,18442,32769,22,29,90
32769,9221,32769,5191102242953854976,3618502788666131213697322783095070105623107215331596699973092056135872020473,0
32769,4610,32769,0,29,0
32769,2305,32769,0,3618502788666131213697322783095070105623107215331596699973092056135872020473,0
32764,1152,32769,89,30,4320
32769,576,32769,30,2345108766317314046,0
32769,288,32769,91,30,0
32769,144,32769,0,2345108766317314046,0
32767,72,32769,90,30,90
32769,36,32769,144,2345108766317314046,0
32769,18,32769,0,30,0
32769,9,32769,0,2345108766317314046,0
32769,4,32769,86,30,144
32769,2,32769,144,2345108766317314046,0
32769,1,32769,91,30,0
32769,0,32769,0,2345108766317314046,0
32766,8331,32769,23,30,91
32769,4165,32769,2345108766317314046,2345108766317314046,0
32769,2082,32769,0,30,0
32769,1041,32769,0,2345108766317314046,0
32767,520,32769,89,30,900
32769,260,32769,30,2345108766317314046,0
32769,130,32769,91,30,0
32769,65,32769,0,2345108766317314046,0
32767,32,32769,88,30,90
32769,16,32769,85,2345108766317314046,0
32769,8,32769,0,31,0
32769,4,32769,0,33,0
32769,2,32769,89,32,30
32769,1,32769,30,0,0
32769,0,32769,91,32,0
32769,0,32769,0,0,0
32766,8331,32769,30,32,91
32769,4165,32769,2345108766317314046,0,0
32769,2082,32769,0,32,0
32769,1041,32769,0,0,0
32767,520,32769,84,32,900
32769,260,32769,30,0,0
32769,130,32769,91,32,0
32769,65,32769,0,0,0
32767,32,32769,83,32,85
32769,16,32769,80,0,0
32769,8,32769,0,32,0
32769,4,32769,0,0,0
32769,2,32769,84,32,30
32769,1,32769,30,0,0
32769,0,32769,91,32,0
32769,0,32769,0,0,0
32766,8331,32769,30,32,91
32769,4165,32769,2345108766317314046,0,0
32769,2082,32769,0,32,0
32769,1041,32769,0,0,0
32767,520,32769,79,32,900
32769,260,32769,30,0,0
32769,130,32769,91,32,0
32769,65,32769,0,0,0
32767,32,32769,78,32,80
32769,16,32769,75,0,0
32769,8,32769,0,32,0
32769,4,32769,0,0,0
32769,2,32769,79,32,30
32769,1,32769,30,0,0
32769,0,32769,91,32,0
32769,0,32769,0,0,0
32766,8331,32769,30,32,91
32769,4165,32769,2345108766317314046,0,0
32769,2082,32769,0,32,0
32769,1041,32769,0,0,0
32767,520,32769,74,32,900
32769,260,32769,30,0,0
32769,130,32769,91,32,0
32769,65,32769,0,0,0
32767,32,32769,73,32,75
32769,16,32769,70,0,0
32769,8,32769,0,32,0
32769,4,32769,0,0,0
32769,2,32769,74,32,30
32769,1,32769,30,0,0
32769,0,32769,91,32,0
32769,0,32769,0,0,0
32766,8331,32769,30,32,91
32769,4165,32769,2345108766317314046,0,0
32769,2082,32769,0,32,0
32769,1041,32769,0,0,0
32767,520,32769,69,32,900
32769,260,32769,30,0,0
32769,130,32769,91,32,0
32769,65,32769,0,0,0
32767,32,32769,68,32,70
32769,16,32769,65,0,0
32769,8,32769,0,32,0
32769,4,32769,0,0,0
32769,2,32769,69,32,30
32769,1,32769,30,0,0
32769,0,32769,91,32,0
32769,0,32769,0,0,0
32766,8331,32769,30,32,91
32769,4165,32769,2345108766317314046,0,0
32769,2082,32769,0,32,0
32769,1041,32769,0,0,0
32767,520,32769,64,32,900
32769,260,32769,30,0,0
32769,130,32769,91,32,0
32769,65,32769,0,0,0
32767,32,32769,63,32,65
32769,16,32769,60,0,0
32769,8,32769,0,32,0
32769,4,32769,0,0,0
32769,2,32769,64,32,30
32769,1,32769,30,0,0
32769,0,32769,91,32,0
32769,0,32769,0,0,0
32766,8331,32769,30,32,91
32769,4165,32769,2345108766317314046,0,0
32769,2082,32769,0,32,0
32769,1041,32769,0,0,0
32767,520,32769,59,32,900
32769,260,32769,30,0,0
32769,130,32769,91,32,0
32769,65,32769,0,0,0
32767,32,32769,58,32,60
32769,16,32769,55,0,0
32769,8,32769,0,32,0
32769,4,32769,0,0,0
32769,2,32769,59,32,30
32769,1,32769,30,0,0
32769,0,32769,91,32,0
32769,0,32769,0,0,0
32766,8331,32769,30,32,91
32769,4165,32769,2345108766317314046,0,0
32769,2082,32769,0,32,0
32769,1041,32769,0,0,0
32767,520,32769,54,32,900
32769,260,32769,30,0,0
32769,130,32769,91,32,0
32769,65,32769,0,0,0
32767,32,32769,53,32,55
32769,16,32769,50,0,0
32769,8,32769,0,32,0
32769,4,32769,0,0,0
32769,2,32769,54,32,30
32769,1,32769,30,0,0
32769,0,32769,91,32,0
32769,0,32769,0,0,0
32766,8331,32769,30,32,91
32769,4165,32769,2345108766317314046,0,0
32769,2082,32769,0,32,0
32769,1041,32769,0,0,0
32767,520,32769,49,32,900
32769,260,32769,30,0,0
32769,130,32769,91,32,0
32769,65,32769,0,0,0
32767,32,32769,48,32,50
32769,16,32769,45,0,0
32769,8,32769,0,32,0
32769,4,32769,0,0,0
32769,2,32769,49,32,30
32769,1,32769,30,0,0
32769,0,32769,91,32,0
32769,0,32769,0,0,0
32766,8331,32769,30,32,91
32769,4165,32769,2345108766317314046,0,0
32769,2082,32769,0,32,0
32769,1041,32769,0,0,0
32767,520,32769,44,32,900
32769,260,32769,30,0,0
32769,130,32769,91,32,0
32769,65,32769,0,0,0
32767,32,32769,43,32,45
32769,16,32769,40,0,0
32769,8,32769,0,32,0
32769,4,32769,0,0,0
32769,2,32769,44,32,30
32769,1,32769,30,0,0
32769,0,32769,91,32,0
32769,0,32769,0,0,0
32766,8331,32769,30,32,91
32769,4165,32769,2345108766317314046,0,0
32769,2082,32769,0,32,0
32769,1041,32769,0,0,0
32767,520,32769,39,32,289
32769,260,32769,17,0,0
32769,130,32769,91,32,0
32769,65,32769,0,0,0
32767,32,32769,38,32,40
32769,16,32769,35,0,0
32769,8,32769,0,32,0
32769,4,32769,0,0,0
32769,2,32769,39,32,17
32769,1,32769,17,0,0
32769,0,32769,91,32,0
32769,0,32769,0,0,0
32767,16390,32769,17,32,91
32769,8195,32769,4613515612218425343,0,0
32769,4097,32769,0,32,0
32769,2048,32769,0,0,0
32769,1024,32769,34,32,720
32769,512,32769,5,0,0
32769,256,32769,91,32,0
32769,128,32769,0,0,0
32767,64,32769,90,32,35
32769,32,32769,144,0,0
32769,16,32769,0,32,0
32769,8,32769,0,0,0
32769,4,32769,18,32,144
32769,2,32769,144,0,0
32769,1,32769,91,32,0
32769,0,32769,0,0,0
32766,8331,32769,19,32,91
32769,4165,32769,2345108766317314046,0,0
32769,2082,32769,0,32,0
32769,1041,32769,0,0,0
32767,520,32769,34,32,25
32769,260,32769,5,0,0
32769,130,32769,91,32,0
32769,65,32769,0,0,0
32767,32,32769,33,32,35
32769,16,32769,33,0,0
32769,8,32769,0,32,0
32769,4,32769,0,0,0
32769,2,32769,34,32,5
32769,1,32769,5,0,0
32769,0,32769,91,32,0
32769,0,32769,0,0,0
32767,263,32769,5,32,91
32769,131,32769,74168662805676031,0,0
32769,65,32769,0,32,0
32769,32,32769,0,0,0
32769,16,32769,32,32,0
32769,8,32769,0,0,0
32769,4,32769,91,32,0
32769,2,32769,0,0,0
32767,1,32769,32,32,33
32769,0,32769,0,0,0
32769,0,32769,0,32,0
32769,0,32769,0,0,0
32769,0,32769,6,32,0
